0,1,2,3
192.0404179,109,109,10
193.9340582,132,123.9888027,13
191.5449764,105,100.9888027,11
194.0885196,129,124.9888027,11
194.1077116,139,134.9888027,11
192.448347,125,120.9888027,10
196.1662109,166,150.2593268,14
197.5355652,167,160.7390364,15
196.2121275,166,159.7390364,14
201.1928394,185,178.7390364,15
201.6213036,188,182.1510376,14
200.3907697,177,171.1510376,14
200.6091333,180,174.1510376,14
196.2534878,166,160.1510376,14
193.846615,137,135.1622348,10
190.3373217,101,101,8
191.0243159,106,104.1622348,9
201.2089024,150,150,11
199.0576943,144,144,10
198.8343997,142,142,10
198.6843072,140,140,10
196.6049793,138,138,9
192.0245308,135,133.1622348,9
191.128747,127,125.1622348,9
194.2549941,154,145.9344867,13
197.4173906,173,171.1622348,13
196.0119921,168,165.7834491,13
191.4828522,133,124.9888027,12
191.548278,133,128.9888027,12
190.5634408,118,103,12
193.0817828,137,137,11
191.7405841,137,131.1510376,12
195.5340738,159,157.1622348,13
196.2768887,171,169.1622348,13
193.1402791,149,143.1510376,12
194.7391345,151,149.1622348,13
195.2827725,153,153,13
190.722258,117,112.9888027,12
194.5395939,142,142,12
192.7509238,126,126,12
192.9581097,132,132,11
196.4614092,168,163.9456839,11
194.8927195,166,161.9456839,11
191.3263239,122,116.1510376,9
191.9795523,118,118,9
194.9196005,164,159.9888027,12
192.4963785,130,125.9888027,11
190.9487031,122,115.7722518,10
192.7056079,148,143.9888027,10
192.0493792,127,122.9888027,10
199.5244393,187,182.9888027,13
195.783476,175,170.9888027,12
190.9623835,111,111,10
192.019336,119,117.290498,12
191.8041431,116,116,10
197.0965622,160,155.9888027,12
193.6215862,129,129,9
192.9889953,122,122,9
192.4880883,122,119.7834491,10
190.7632415,115,109.1622348,10
198.6482672,162,157.9888027,12
200.3950756,170,165.9888027,13
199.1101587,163,158.9888027,12
194.4356582,144,142.290498,12
196.7250901,164,147.1012607,12
197.7805685,173,168.9888027,14
192.1327475,120,115.9888027,10
195.6012237,168,163.9888027,13
193.5246676,145,140.9888027,13
194.8187546,167,162.9888027,13
191.8608663,110,110,14
194.0849144,154,149.9888027,11
192.6152382,132,127.9888027,12
193.206199,141,135.1510376,11
192.5995309,127,122.9888027,11
202.5157657,176,170.1510376,13
193.9477833,147,142.9888027,12
191.2532058,107,107,10
189.9538577,101,101,10
190.0803798,102,102,10
191.6926798,113,101.3833991,12
198.6895479,175,168.7722518,13
195.6330413,160,153.7722518,12
197.264835,172,165.7722518,12
194.2007725,149,144.9888027,12
192.0417997,134,129.9888027,11
192.7715382,148,143.9888027,12
192.740406,148,136.3833991,12
191.7580617,128,113,13
194.5032273,156,151.9888027,13
196.1153648,171,164.7722518,13
195.2955802,171,166.9888027,11
195.9018788,176,171.9888027,12
191.7481761,130,130,10
195.4362909,175,170.9888027,12
193.2152803,134,134,12
194.249311,164,159.9888027,11
193.919325,160,155.9888027,11
191.2680331,114,114,11
193.424522,146,146,10
190.9036989,118,103,8
190.9727246,120,105,9
191.1210971,110,110,10
194.5956388,146,144.1622348,9
195.2112861,152,150.1622348,11
201.2001476,172,166.1510376,12
197.6837708,170,164.1510376,11
196.8627029,168,162.1510376,11
194.210693,138,136.1622348,11
195.5673216,167,153.1492075,11
191.9494287,133,123.1604047,9
192.6262804,133,131.1622348,9
192.1184674,131,129.1622348,9
191.310771,121,119.1622348,8
