ID,Num
11101,2
11102,28
11103,25
11104,14
11105,15
11106,13
11107,32
11123,19
11126,17
11127,12
11128,17
11129,10
11130,36
11131,0
11153,2
11157,9
13062,19
13064,5
13070,15
13072,7
13073,5
13075,7
13094,8
13095,6
13096,6
13097,11
13098,10
13099,9
15098,2
15099,5
15100,15
15101,17
15118,9
15120,7
15143,15
15144,23
15148,8
11001,9
11002,16
11003,11
11004,19
11005,22
11006,0
11007,8
11008,11
11009,14
11011,23
11012,18
11013,19
11014,34
11015,12
11016,9
11018,22
11019,14
11020,14
11021,23
11022,10
11023,4
11024,2
11025,6
11026,16
11027,6
11028,19
11029,13
11030,14
11034,9
11035,14
11101,2
11102,28
11103,25
11104,14
11105,15
11106,13
11107,32
11123,19
11126,17
11127,12
11128,17
11129,10
11130,36
11131,0
11153,2
11157,9
11271,12
11272,11
13001,16
13002,18
13003,19
13004,12
13005,14
13006,4
13007,7
13009,19
13010,24
13011,22
13012,19
13013,15
13014,13
13015,10
13016,12
13017,6
13025,24
13026,13
13061,10
13062,19
13064,5
13070,15
13072,7
13073,5
13075,7
13094,8
13095,6
13096,6
13097,11
13098,10
13099,9
15001,28
15002,46
15003,25
15004,21
15005,11
15006,12
15007,26
15008,15
15009,19
15011,21
15012,24
15013,5
15014,17
15015,18
15016,17
15017,19
15018,31
15019,18
15020,6
15021,5
15022,28
15023,11
15024,9
15025,20
15026,7
15027,8
15028,49
15029,27
15030,13
15031,19
15032,19
15033,18
15034,30
15035,26
15036,10
15037,32
15038,15
15039,14
15040,28
15042,19
15043,11
15044,42
15045,14
15046,30
15047,16
15048,36
15049,15
15051,8
15052,12
15053,18
15054,20
15055,12
15056,3
15057,19
15058,42
15059,10
15060,2
15061,16
15062,4
15063,23
15064,15
15065,15
15066,6
15067,5
15068,36
15069,9
15070,11
15075,15
15076,19
15077,14
15079,3
15083,0
15084,8
15087,11
15088,5
15090,20
15098,2
15099,5
15100,15
15101,17
15118,9
15120,7
15143,15
15144,23
15148,8
