id,demand,max_capacity,bike_count,ratio,diversity,full_empty_time,warning_time,latest_time,cluster,priority,velocity,key_distance,latitude,longitude,past_rent_01,past_rent_02,past_rent_03,past_rent_04,past_return_01,past_return_02,past_return_03,past_return_04,pred_rent_01,pred_rent_02,pred_rent_03,pred_rent_04,pred_return_01,pred_return_02,pred_return_03,pred_return_04,visited
11105,-34,48,48,1,NULL,0,NULL,NULL,NULL,-1,-0.53,3.7,32.0576,118.767,3,2,5,1,8,11,19,4,10,5,7,3,41,26,29,9,NULL
11106,0,34,14,0.41,NULL,45,NULL,NULL,NULL,-1,-0.01,4.03,32.0649,118.77,0,2,0,1,1,2,4,4,6,3,4,2,14,4,5,4,NULL
11107,0,45,45,1,NULL,45,NULL,NULL,NULL,-1,0.13,2,32.0501,118.783,4,10,5,10,13,5,3,3,30,21,15,6,14,24,9,4,NULL
11123,13,42,1,0.02,NULL,8.33,NULL,NULL,NULL,-1,0.12,5,32.0721,118.764,0,3,2,3,1,0,1,0,10,4,6,3,0,2,3,0,NULL
11126,22,29,0,0,NULL,0,NULL,NULL,NULL,-1,0.36,2.59,32.0578,118.784,8,7,4,4,2,0,3,4,17,18,11,3,6,7,3,1,1
11127,13,37,0,0,NULL,0,NULL,NULL,NULL,11.41,0.11,4.52,32.0724,118.773,5,4,3,2,1,1,4,3,13,9,5,3,9,8,5,1,NULL
11128,0,46,14,0.3,NULL,45,NULL,NULL,NULL,-1,-0.01,3.61,32.0659,118.779,3,3,5,3,3,3,7,11,14,8,8,3,29,9,10,9,NULL
11129,0,28,0,0,NULL,45,NULL,NULL,NULL,-1,-0.06,2.79,32.0588,118.782,2,2,3,2,1,4,2,2,11,10,5,5,11,9,5,4,NULL
11130,41,43,0,0,NULL,0,NULL,NULL,NULL,25.79,0.72,2.82,32.0602,118.784,10,16,10,3,4,2,2,0,29,30,25,3,4,7,3,1,NULL
11153,0,30,2,0.07,NULL,45,NULL,NULL,NULL,-1,0.03,3.4,32.0576,118.771,0,2,1,0,2,1,2,1,3,4,3,0,4,4,2,0,NULL
11157,21,28,0,0,NULL,0,NULL,NULL,NULL,-1,0.33,3.34,32.0604,118.775,1,8,2,5,2,1,4,3,15,13,9,1,7,4,6,0,NULL
11271,14,34,0,0,NULL,0,NULL,NULL,NULL,11.11,0.16,4.75,32.0654,118.76,0,3,1,1,0,0,0,0,4,5,3,1,2,0,0,1,NULL
11272,9,34,0,0,NULL,0,NULL,NULL,NULL,-1,0.04,4.69,32.0655,118.761,2,3,3,2,2,2,2,2,6,6,6,0,7,5,2,3,NULL
13001,0,41,6,0.15,NULL,45,NULL,NULL,NULL,-1,-0.07,1.01,32.0419,118.789,0,1,2,1,0,3,0,2,7,4,4,2,6,4,3,1,NULL
13002,-25,53,53,1,NULL,0,NULL,NULL,NULL,-1,-0.3,1.05,32.0448,118.791,4,3,1,5,6,9,12,14,13,10,4,3,45,19,20,9,NULL
13003,0,49,45,0.92,NULL,45,NULL,NULL,NULL,-1,-0.08,1.69,32.0467,118.784,1,1,2,0,2,2,6,1,4,2,2,2,14,6,7,5,NULL
13004,26,51,0,0,NULL,0,NULL,NULL,NULL,-1,0.33,0.6,32.0417,118.794,7,8,5,7,6,1,2,6,20,19,13,2,9,10,4,0,NULL
13005,14,36,0,0,NULL,0,NULL,NULL,NULL,-1,0.14,0.72,32.0437,118.795,4,3,6,5,0,1,0,1,17,11,9,4,6,4,3,3,1
13006,15,48,0,0,NULL,0,NULL,NULL,NULL,-1,0.12,0.37,32.0414,118.799,0,3,0,1,0,0,1,0,5,5,4,0,1,3,1,0,NULL
13007,9,40,0,0,NULL,0,NULL,NULL,NULL,-1,0.01,0.53,32.0428,118.799,1,0,2,1,1,0,0,2,4,3,2,2,3,2,0,0,NULL
13009,0,51,29,0.57,NULL,45,NULL,NULL,NULL,-1,0.01,1.2,32.0488,118.797,1,2,3,3,0,1,4,6,13,3,5,5,15,5,5,4,NULL
13010,11,48,0,0,NULL,0,NULL,NULL,NULL,-1,0.02,1.26,32.0492,118.796,3,5,5,6,5,5,4,6,22,14,10,7,22,12,9,7,NULL
13011,-21,41,41,1,NULL,0,NULL,NULL,NULL,-1,-0.27,2.28,32.0543,118.784,0,1,1,2,5,6,5,7,5,3,2,0,19,12,10,2,NULL
13012,-8,32,32,1,NULL,0,NULL,NULL,NULL,-1,-0.03,2.14,32.0546,118.787,0,4,3,4,4,4,6,2,13,7,6,1,14,10,7,2,NULL
13013,17,59,0,0,NULL,0,NULL,NULL,NULL,15.24,0.1,2.78,32.0602,118.785,4,9,15,5,2,7,6,3,31,16,22,4,20,13,11,5,NULL
13014,0,42,26,0.62,NULL,45,NULL,NULL,NULL,-1,-0.02,2.51,32.0584,118.787,2,2,2,2,2,2,1,2,7,5,2,1,9,7,4,4,NULL
13015,0,64,25,0.39,NULL,45,NULL,NULL,NULL,-1,-0.02,2.26,32.0583,118.796,2,3,4,2,6,3,0,2,11,9,7,3,6,11,2,1,NULL
13016,0,45,0,0,NULL,45,NULL,NULL,NULL,-1,-0.04,2.22,32.058,118.801,6,2,0,7,4,4,1,1,10,10,0,4,8,8,4,2,NULL
13017,13,36,0,0,NULL,0,NULL,NULL,NULL,16.06,0.12,2.31,32.0579,118.806,3,2,0,2,0,0,1,1,6,5,2,2,2,0,1,1,NULL
13025,61,58,0,0,NULL,0,NULL,NULL,NULL,-1,1.08,3.79,32.0702,118.785,17,25,20,8,6,8,5,4,58,67,44,5,25,21,12,10,1
13026,-12,42,42,1,NULL,0,NULL,NULL,NULL,-1,-0.08,4.49,32.0765,118.784,1,1,0,2,2,2,0,1,4,2,1,0,2,6,0,0,NULL
13061,-15,36,36,1,NULL,0,NULL,NULL,NULL,-1,-0.16,1.88,32.0511,118.786,1,3,2,4,1,6,6,4,11,5,5,2,18,10,12,4,NULL
13062,23,41,0,0,NULL,0,NULL,NULL,NULL,18.81,0.32,2.84,32.0632,118.793,6,7,5,7,2,2,4,3,20,19,12,3,11,5,7,3,NULL
13064,-6,19,19,1,NULL,0,NULL,NULL,NULL,-1,-0.03,2.36,32.0583,118.791,1,2,0,0,2,2,1,3,3,2,1,2,6,5,4,0,NULL
13070,10,26,0,0,NULL,0,NULL,NULL,NULL,-1,0.1,1.55,32.0499,118.79,4,4,2,2,2,2,1,1,10,10,5,3,10,7,3,6,NULL
13072,-16,20,20,1,NULL,0,NULL,NULL,NULL,-1,-0.26,2.59,32.0614,118.798,0,0,1,2,3,5,2,4,3,0,0,0,16,8,7,5,NULL
13073,0,40,12,0.3,NULL,45,NULL,NULL,NULL,-1,-0.01,2.48,32.0603,118.796,0,1,0,3,1,1,0,2,5,2,1,1,1,3,0,0,NULL
13075,0,37,23,0.62,NULL,45,NULL,NULL,NULL,-1,-0.12,1.84,32.0526,118.808,0,2,1,0,0,5,0,0,2,2,3,0,4,4,4,0,NULL
13094,0,35,0,0,NULL,45,NULL,NULL,NULL,-1,-0.04,1.98,32.0557,118.796,5,1,1,3,1,3,1,2,4,8,3,0,6,6,4,1,NULL
13095,-9,22,22,1,NULL,0,NULL,NULL,NULL,12.02,-0.1,3.2,32.0648,118.786,2,2,5,1,1,4,4,2,8,5,7,0,9,8,8,0,NULL
13096,6,27,0,0,NULL,0,NULL,NULL,NULL,-1,0.01,3.18,32.0646,118.786,1,1,2,2,1,1,2,4,7,6,3,2,8,5,4,1,NULL
13097,13,26,0,0,NULL,0,NULL,NULL,NULL,19.31,0.17,1.86,32.0521,118.788,8,5,1,5,2,3,1,3,11,15,6,2,14,6,5,7,NULL
13098,18,37,0,0,NULL,0,NULL,NULL,NULL,22.61,0.23,1.56,32.048,118.787,4,4,5,4,3,0,2,2,15,12,10,3,6,3,3,2,NULL
13099,-8,35,35,1,NULL,0,NULL,NULL,NULL,-1,-0.01,4.55,32.0774,118.785,0,1,0,1,2,0,0,0,2,0,0,0,0,4,0,0,NULL
15001,36,52,0,0,NULL,0,NULL,NULL,NULL,23.21,0.56,3.04,32.0426,118.767,9,10,9,11,0,0,0,3,34,22,18,5,4,2,0,1,NULL
15002,21,60,0,0,NULL,0,NULL,NULL,NULL,-1,0.19,2.2,32.0425,118.776,5,4,5,0,1,0,1,0,12,10,9,3,3,5,0,2,NULL
15003,36,58,0,0,NULL,0,NULL,NULL,NULL,-1,0.53,2.11,32.0424,118.777,12,14,16,13,3,7,6,9,48,40,29,8,29,13,13,8,1
15004,0,58,33,0.57,NULL,45,NULL,NULL,NULL,-1,-0.02,1.46,32.0422,118.784,0,5,9,7,4,5,12,2,21,8,15,2,20,10,15,3,NULL
15005,0,35,29,0.83,NULL,45,NULL,NULL,NULL,-1,-0.13,1.01,32.0418,118.789,1,0,0,2,2,3,9,6,2,4,2,0,18,7,12,0,NULL
15006,-16,42,42,1,NULL,0,NULL,NULL,NULL,-1,-0.16,0.83,32.0417,118.791,1,1,3,4,1,4,1,0,7,3,4,0,6,8,5,2,NULL
15007,0,58,0,0,NULL,0,NULL,NULL,NULL,-1,0,0.51,32.0414,118.795,7,4,10,9,3,6,3,5,29,16,14,5,19,10,9,6,1
15008,13,52,0,0,NULL,0,NULL,NULL,NULL,-1,0.04,0.36,32.0411,118.8,2,2,3,3,2,1,2,3,10,5,5,3,10,4,2,4,NULL
15009,13,55,0,0,NULL,0,NULL,NULL,NULL,23.83,0.03,0.51,32.0408,118.803,5,2,2,4,1,2,3,5,9,8,3,1,14,5,6,4,NULL
15011,0,60,43,0.72,NULL,45,NULL,NULL,NULL,-1,-0.03,1.71,32.0411,118.781,0,3,3,2,1,3,3,1,7,5,7,0,11,8,6,4,NULL
15012,23,60,0,0,NULL,0,NULL,NULL,NULL,25.12,0.24,1.41,32.0399,118.784,5,9,6,14,3,5,4,3,35,22,16,8,14,12,8,3,NULL
15013,-26,41,41,1,NULL,0,NULL,NULL,NULL,-1,-0.38,1.03,32.0398,118.788,0,2,1,1,0,11,5,4,1,5,4,0,29,12,15,10,NULL
15014,14,34,0,0,NULL,0,NULL,NULL,NULL,-1,0.16,0.41,32.0399,118.795,7,5,4,4,5,2,5,4,17,15,8,4,15,10,7,4,NULL
15015,-17,41,41,1,NULL,0,NULL,NULL,NULL,-1,-0.18,2.15,32.0379,118.776,4,5,3,4,7,7,4,4,16,11,9,5,16,21,11,2,NULL
15016,0,39,1,0.03,NULL,45,NULL,NULL,NULL,-1,-0.02,1.86,32.0373,118.779,2,3,1,1,4,4,9,0,10,11,5,5,17,10,14,3,NULL
15017,-22,58,58,1,NULL,0,NULL,NULL,NULL,-1,-0.23,1.39,32.0377,118.784,3,3,5,5,0,8,11,7,17,7,7,4,35,13,18,7,NULL
15018,-26,56,56,1,NULL,0,NULL,NULL,NULL,-1,-0.32,1.02,32.037,118.788,4,0,8,5,5,6,2,11,16,4,8,4,28,15,8,11,NULL
15019,18,41,0,0,NULL,0,NULL,NULL,NULL,-1,0.21,0.83,32.0374,118.79,3,5,4,1,2,1,7,3,15,10,10,5,11,3,7,2,NULL
15020,0,41,21,0.51,NULL,45,NULL,NULL,NULL,-1,-0.09,2.65,32.0345,118.771,0,0,1,5,0,2,5,2,10,0,1,6,8,2,6,1,NULL
15021,11,44,0,0,NULL,0,NULL,NULL,NULL,-1,0.03,2.08,32.0347,118.777,1,2,2,1,1,2,0,2,4,7,5,0,4,4,0,1,NULL
15022,-27,48,48,1,NULL,0,NULL,NULL,NULL,-1,-0.37,1.6,32.0357,118.782,4,2,5,5,6,9,10,12,17,10,8,4,54,22,21,25,NULL
15023,9,41,0,0,NULL,0,NULL,NULL,NULL,-1,0.01,0.86,32.0358,118.79,5,1,1,3,1,1,1,4,7,6,2,3,9,5,3,1,1
15024,0,45,14,0.31,NULL,45,NULL,NULL,NULL,-1,-0.04,0.78,32.0355,118.791,0,2,0,2,0,3,0,0,3,3,3,0,4,4,3,2,NULL
15025,14,47,0,0,NULL,0,NULL,NULL,NULL,-1,0.1,0.58,32.0361,118.793,3,6,2,8,4,4,7,4,19,12,8,4,14,9,10,0,NULL
15026,-12,41,41,1,NULL,0,NULL,NULL,NULL,-1,-0.08,2.22,32.033,118.776,2,2,1,3,2,3,3,2,7,2,2,1,11,6,5,3,NULL
15027,0,58,18,0.31,NULL,45,NULL,NULL,NULL,-1,0.06,2.13,32.0327,118.777,1,3,3,0,5,1,1,2,7,7,7,0,8,8,3,5,NULL
15028,28,62,0,0,NULL,0,NULL,NULL,NULL,-1,0.34,0.65,32.0348,118.793,1,10,10,10,6,1,6,1,37,13,19,9,12,9,8,5,NULL
15029,39,60,0,0,NULL,0,NULL,NULL,NULL,-1,0.6,0.82,32.0334,118.792,19,12,15,18,4,4,2,6,54,39,26,9,19,9,7,7,1
15030,10,45,0,0,NULL,0,NULL,NULL,NULL,-1,0.01,2.64,32.031,118.772,7,3,3,4,5,3,5,2,9,11,7,1,13,10,9,3,NULL
15031,10,27,0,0,NULL,0,NULL,NULL,NULL,-1,0.1,2.11,32.031,118.778,11,5,5,7,3,4,3,5,21,18,9,4,14,12,7,2,1
15032,0,41,17,0.41,NULL,45,NULL,NULL,NULL,-1,0.16,1.97,32.0322,118.779,0,7,0,0,5,2,2,2,8,8,6,2,12,9,5,6,NULL
15033,0,44,25,0.57,NULL,45,NULL,NULL,NULL,-1,-0.14,1.57,32.0314,118.784,3,6,10,7,7,10,8,3,30,16,16,7,22,17,18,3,NULL
15034,33,45,0,0,NULL,0,NULL,NULL,NULL,-1,0.53,1.62,32.0305,118.784,6,19,7,13,6,7,14,6,58,31,25,19,31,19,21,4,NULL
15035,15,58,0,0,NULL,0,NULL,NULL,NULL,19.82,0.07,1.78,32.0306,118.782,3,5,4,7,1,4,7,1,16,12,9,1,19,9,11,7,NULL
15036,0,39,14,0.36,NULL,45,NULL,NULL,NULL,-1,-0.04,2.65,32.0285,118.773,1,0,1,4,3,1,1,0,9,5,4,3,8,6,1,7,NULL
15037,-13,48,48,1,NULL,0,NULL,NULL,NULL,21.45,-0.07,1.19,32.029,118.792,8,10,7,5,13,10,21,16,28,24,18,6,58,30,31,12,NULL
15038,14,34,0,0,NULL,0,NULL,NULL,NULL,16.49,0.16,2.38,32.0271,118.777,3,2,4,5,1,0,2,1,14,10,7,3,9,2,3,6,NULL
15039,0,31,16,0.52,NULL,45,NULL,NULL,NULL,-1,-0.08,1.78,32.028,118.784,0,2,3,1,0,4,0,2,5,4,5,0,8,5,6,1,NULL
15040,-19,34,34,1,NULL,0,NULL,NULL,NULL,-1,-0.26,1.15,32.0278,118.797,3,2,0,3,3,7,10,6,11,6,2,6,29,14,17,8,NULL
15042,18,47,0,0,NULL,0,NULL,NULL,NULL,14.84,0.18,2.88,32.0255,118.772,8,8,9,4,2,5,10,13,26,20,17,5,44,13,16,17,NULL
15043,0,42,0,0,NULL,45,NULL,NULL,NULL,-1,-0.02,2.05,32.0253,118.783,1,2,1,0,2,3,3,3,5,7,5,0,14,6,5,5,NULL
15044,39,49,0,0,NULL,0,NULL,NULL,NULL,-1,0.63,2.72,32.023,118.776,6,15,4,8,5,2,2,3,28,28,18,3,6,10,4,0,NULL
15045,18,35,0,0,NULL,0,NULL,NULL,NULL,16.93,0.24,2.64,32.0231,118.777,8,5,1,6,2,2,3,2,13,20,6,3,8,7,6,1,NULL
15046,0,57,32,0.56,NULL,45,NULL,NULL,NULL,-1,-0.01,2.23,32.0239,118.782,1,5,3,2,3,5,3,4,17,7,9,7,11,8,7,0,NULL
15047,0,41,1,0.02,NULL,45,NULL,NULL,NULL,-1,-0.06,2.22,32.024,118.782,4,3,1,5,2,5,4,4,17,12,5,7,11,11,9,0,NULL
15048,-28,35,35,1,NULL,0,NULL,NULL,NULL,24.47,-0.46,2.3,32.0229,118.782,8,11,17,15,15,19,10,25,59,26,29,18,57,43,28,6,NULL
15049,12,21,0,0,NULL,0,NULL,NULL,NULL,-1,0.17,2.35,32.0223,118.782,6,6,4,5,7,2,3,3,23,19,10,8,11,16,6,3,NULL
15051,-16,41,41,1,NULL,0,NULL,NULL,NULL,-1,-0.16,2.05,32.0237,118.785,0,1,3,2,0,4,4,2,6,1,5,0,12,6,10,2,NULL
15052,0,62,7,0.11,NULL,45,NULL,NULL,NULL,-1,0,1.96,32.0234,118.787,0,3,4,2,1,3,5,2,12,4,6,3,13,4,8,3,NULL
15053,0,40,0,0,NULL,45,NULL,NULL,NULL,-1,-0.12,1.91,32.0234,118.788,3,0,3,5,6,4,6,4,13,12,3,5,19,11,10,5,NULL
15054,16,29,0,0,NULL,0,NULL,NULL,NULL,-1,0.22,1.81,32.0225,118.793,3,4,3,4,1,0,0,3,10,11,7,0,3,3,0,0,NULL
15055,7,25,0,0,NULL,0,NULL,NULL,NULL,-1,0.04,3.4,32.0196,118.77,3,1,0,1,4,0,0,2,3,5,2,0,4,4,0,0,NULL
15056,18,45,0,0,NULL,0,NULL,NULL,NULL,13.36,0.19,3.42,32.0193,118.77,3,2,0,2,1,0,0,2,3,11,2,1,2,0,0,0,NULL
15057,15,45,0,0,NULL,0,NULL,NULL,NULL,13.71,0.12,3.09,32.0189,118.775,3,4,3,3,1,2,1,4,13,11,9,5,14,6,4,7,NULL
15058,34,47,0,0,NULL,0,NULL,NULL,NULL,-1,0.54,2.8,32.0192,118.779,11,12,8,15,5,2,4,6,39,31,20,6,14,12,5,3,NULL
15059,-13,31,31,1,NULL,0,NULL,NULL,NULL,-1,-0.14,2.4,32.0204,118.784,2,1,3,1,1,4,3,3,5,5,4,0,17,9,8,7,NULL
15060,-12,24,24,1,NULL,0,NULL,NULL,NULL,-1,-0.14,2.31,32.0202,118.786,2,1,4,1,1,4,3,5,5,3,5,0,15,7,6,2,NULL
15061,12,36,0,0,NULL,0,NULL,NULL,NULL,18.32,0.09,1.88,32.0212,118.796,1,2,1,2,0,0,0,3,4,3,2,0,2,1,0,0,NULL
15062,14,52,0,0,NULL,0,NULL,NULL,NULL,20.35,0.06,1.68,32.0229,118.798,1,1,0,3,0,0,1,0,4,3,2,1,2,1,1,1,NULL
15063,-31,61,61,1,NULL,0,NULL,NULL,NULL,-1,-0.4,2.54,32.0189,118.784,3,1,1,4,13,6,2,7,13,7,2,6,18,28,8,2,NULL
15064,8,31,0,0,NULL,0,NULL,NULL,NULL,-1,0.04,2.31,32.0186,118.79,3,1,1,1,1,3,0,3,3,14,2,0,9,4,3,3,NULL
15065,0,42,39,0.93,NULL,45,NULL,NULL,NULL,-1,-0.03,2.9,32.0151,118.784,1,4,1,1,2,4,5,2,7,5,4,2,12,8,8,4,NULL
15066,0,23,11,0.48,NULL,45,NULL,NULL,NULL,-1,-0.01,2.78,32.0144,118.789,0,2,3,1,1,2,0,2,13,1,5,7,7,2,2,3,NULL
15067,12,36,0,0,NULL,0,NULL,NULL,NULL,14.45,0.1,2.79,32.014,118.79,5,3,2,0,2,2,1,0,6,11,5,2,3,5,4,0,NULL
15068,26,59,0,0,NULL,0,NULL,NULL,NULL,20.89,0.3,2.59,32.0149,118.795,8,10,6,4,2,4,5,1,26,19,16,7,11,10,8,3,NULL
15069,-11,43,41,0.95,NULL,25,NULL,NULL,NULL,-1,-0.08,3.15,32.013,118.783,1,1,1,1,3,2,1,0,2,2,1,1,0,6,5,0,NULL
15070,12,35,0,0,NULL,0,NULL,NULL,NULL,12.34,0.11,3.27,32.009,118.793,2,3,2,2,2,1,0,0,9,7,5,1,2,3,1,1,NULL
15075,15,33,0,0,NULL,0,NULL,NULL,NULL,-1,0.18,0.99,32.033,118.79,8,3,9,5,1,2,7,4,18,18,13,0,15,5,8,1,1
15076,-26,40,40,1,NULL,0,NULL,NULL,NULL,-1,-0.4,1.78,32.0401,118.78,5,3,6,3,4,12,12,12,15,10,9,1,37,19,22,4,NULL
15077,0,27,0,0,NULL,45,NULL,NULL,NULL,-1,-0.09,2.32,32.0325,118.775,6,1,2,3,2,5,6,5,11,13,3,6,15,9,9,1,NULL
15079,-15,26,26,1,NULL,0,NULL,NULL,NULL,-1,-0.21,2.13,32.0189,118.8,1,0,1,0,0,5,1,1,1,2,0,1,7,6,6,1,NULL
15083,0,50,0,0,NULL,0,NULL,NULL,NULL,-1,0,3.59,32.006,118.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
15084,0,53,33,0.62,NULL,45,NULL,NULL,NULL,-1,-0.07,3.76,32.0065,118.784,0,0,1,1,1,1,1,0,4,0,1,1,2,3,3,0,NULL
15087,17,45,0,0,NULL,0,NULL,NULL,NULL,-1,0.17,2.51,32.0154,118.798,0,5,1,2,0,1,0,1,7,4,4,0,2,1,0,1,NULL
15088,16,44,0,0,NULL,0,NULL,NULL,NULL,-1,0.16,2.53,32.0318,118.773,4,2,5,3,1,0,2,0,9,9,7,0,2,1,2,0,1
15090,0,30,30,1,NULL,45,NULL,NULL,NULL,-1,0.02,2.72,32.0175,118.783,1,4,2,5,2,2,3,1,11,7,7,0,7,11,5,2,NULL
15098,0,50,1,0.02,NULL,45,NULL,NULL,NULL,-1,0,2.83,32.0414,118.769,0,1,2,5,1,1,4,3,8,4,3,0,8,4,5,1,NULL
15099,-9,34,34,1,NULL,0,NULL,NULL,NULL,-1,-0.03,2.91,32.0396,118.768,0,1,0,1,2,1,0,0,1,0,1,0,1,3,1,0,NULL
15100,35,39,0,0,NULL,0,NULL,NULL,NULL,26.48,0.59,1.88,32.0355,118.779,2,14,1,0,0,2,8,1,17,20,13,5,13,3,10,4,NULL
