ID,Num
11101,2
11102,17
11103,6
11104,14
11105,12
11106,5
11107,20
11123,19
11126,11
11127,5
11128,5
11129,3
11130,28
11131,0
11153,2
11157,5
13062,17
13064,1
13070,11
13072,3
13073,3
13075,5
13094,1
13095,1
13096,2
13097,4
13098,5
13099,6
15098,1
15099,7
15100,12
15101,6
15118,8
15120,5
15143,10
15144,16
15148,3
11001,2
11002,9
11003,9
11004,12
11005,5
11006,0
11007,3
11008,3
11009,9
11011,7
11012,12
11013,11
11014,21
11015,11
11016,12
11018,12
11019,8
11020,9
11021,12
11022,4
11023,2
11024,1
11025,2
11026,10
11027,5
11028,4
11029,5
11030,4
11031,15
11034,8
11035,10
11271,8
11272,8
13001,6
13002,7
13003,9
13004,8
13005,10
13006,4
13007,5
13009,11
13010,9
13011,10
13012,14
13013,14
13014,8
13015,7
13016,6
13017,3
13025,21
13026,7
13061,7
15001,23
15002,28
15003,20
15004,15
15005,2
15006,7
15007,10
15008,7
15009,12
15010,0
15011,16
15012,17
15013,2
15014,6
15015,12
15016,10
15017,9
15018,16
15019,7
15020,3
15021,2
15022,9
15023,6
15024,5
15025,11
15026,7
15027,9
15028,30
15029,24
15030,7
15031,7
15032,8
15033,16
15034,26
15035,13
15036,5
15037,17
15038,12
15039,7
15040,10
15042,11
15043,2
15044,32
15045,12
15046,23
15047,10
15048,25
15049,12
15050,0
15051,3
15052,7
15053,5
15054,17
15055,2
15056,2
15057,12
15058,41
15059,7
15060,0
15061,10
15062,3
15063,6
15064,4
15065,12
15066,2
15067,0
15068,28
15069,5
15070,8
15075,7
15076,9
15077,2
15079,1
15083,0
15084,6
15087,9
15088,5
15090,12
