station,Docked_Rent_15_1,Docked_Rent_15_2,Docked_Rent_15_3,Docked_Rent_15_4,Docked_Rent_15_5,Docked_Rent_15_6,Docked_Rent_15_7,Docked_Rent_15_8,Docked_Rent_15_9,Docked_Rent_15_10,Docked_Rent_15_11,Docked_Rent_15_12,Docked_Return_15_1,Docked_Return_15_2,Docked_Return_15_3,Docked_Return_15_4,Docked_Return_15_5,Docked_Return_15_6,Docked_Return_15_7,Docked_Return_15_8,Docked_Return_15_9,Docked_Return_15_10,Docked_Return_15_11,Docked_Return_15_12,Docked_Rent_30_1,Docked_Rent_30_2,Docked_Rent_30_3,Docked_Rent_30_4,Docked_Rent_30_5,Docked_Rent_30_6,Docked_Return_30_1,Docked_Return_30_2,Docked_Return_30_3,Docked_Return_30_4,Docked_Return_30_5,Docked_Return_30_6,Docked_Rent_45_1,Docked_Rent_45_2,Docked_Rent_45_3,Docked_Rent_45_4,Docked_Return_45_1,Docked_Return_45_2,Docked_Return_45_3,Docked_Return_45_4,Docked_Rent_60_1,Docked_Rent_60_2,Docked_Rent_60_3,Docked_Return_60_1,Docked_Return_60_2,Docked_Return_60_3
11130,0.0,1.0,0.0,7.0,2.0,5.0,4.0,10.0,17.0,9.0,1.0,3.0,1.0,0.0,4.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,0.0,1.0,0.0,7.0,7.0,15.0,25.0,4.0,2.0,5.0,4.0,5.0,3.0,0.0,1.0,13.0,30.0,13.0,6.0,5.0,7.0,1.0,7.0,21.0,29.0,7.0,9.0,4.0
11131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11153,0.0,1.0,1.0,2.0,0.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,3.0,3.0,3.0,3.0,0.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,5.0,4.0,1.0,0.0,4.0,4.0,3.0,3.0,6.0,3.0,3.0,4.0,4.0
11157,0.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,9.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,4.0,3.0,0.0,1.0,2.0,3.0,5.0,9.0,6.0,0.0,1.0,2.0,2.0,6.0,2.0,1.0,5.0,13.0,7.0,1.0,3.0,4.0,6.0,3.0,7.0,15.0,2.0,5.0,7.0
13062,1.0,0.0,4.0,1.0,5.0,4.0,8.0,6.0,5.0,7.0,6.0,3.0,2.0,1.0,16.0,9.0,7.0,3.0,0.0,2.0,3.0,4.0,3.0,3.0,1.0,4.0,9.0,13.0,12.0,9.0,5.0,24.0,9.0,2.0,7.0,5.0,4.0,11.0,19.0,14.0,19.0,19.0,5.0,9.0,6.0,22.0,20.0,26.0,12.0,11.0
13064,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,4.0,1.0,2.0,3.0,2.0,5.0,6.0
13070,0.0,1.0,2.0,0.0,1.0,2.0,2.0,5.0,5.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,6.0,2.0,1.0,4.0,7.0,5.0,5.0,0.0,2.0,1.0,6.0,3.0,7.0,3.0,4.0,10.0,6.0,1.0,3.0,7.0,9.0,4.0,11.0,10.0,3.0,8.0,10.0
13072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,5.0,2.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,2.0,7.0,8.0,0.0,2.0,0.0,4.0,0.0,3.0,8.0,10.0,1.0,0.0,3.0,3.0,3.0,16.0
13073,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,4.0,2.0,4.0,3.0,3.0,0.0,1.0,0.0,2.0,2.0,4.0,4.0,5.0,3.0,0.0,1.0,2.0,5.0,7.0,5.0,1.0
13075,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,4.0,1.0,0.0,1.0,2.0,1.0,2.0,4.0
13094,1.0,2.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,4.0,0.0,2.0,1.0,2.0,1.0,3.0,6.0,3.0,1.0,0.0,3.0,0.0,3.0,4.0,3.0,2.0,4.0,8.0,2.0,2.0,1.0,6.0,3.0,5.0,9.0,4.0,3.0,4.0,6.0
13095,0.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,4.0,1.0,0.0,1.0,3.0,4.0,3.0,7.0,0.0,0.0,3.0,2.0,4.0,8.0,1.0,2.0,6.0,5.0,6.0,0.0,5.0,8.0,5.0,4.0,7.0,8.0,2.0,7.0,9.0
13096,1.0,2.0,1.0,2.0,2.0,3.0,3.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,3.0,4.0,4.0,4.0,3.0,4.0,0.0,1.0,3.0,3.0,4.0,4.0,4.0,6.0,6.0,6.0,0.0,4.0,5.0,6.0,6.0,8.0,7.0,2.0,7.0,8.0
13097,1.0,0.0,4.0,1.0,0.0,4.0,3.0,8.0,5.0,1.0,5.0,2.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,2.0,3.0,2.0,3.0,7.0,0.0,4.0,4.0,10.0,6.0,6.0,1.0,2.0,5.0,2.0,5.0,9.0,3.0,5.0,15.0,7.0,1.0,6.0,6.0,10.0,5.0,13.0,11.0,3.0,7.0,14.0
13098,1.0,2.0,2.0,3.0,5.0,2.0,3.0,4.0,5.0,6.0,4.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,3.0,3.0,2.0,3.0,5.0,8.0,7.0,10.0,6.0,1.0,2.0,3.0,3.0,3.0,4.0,5.0,10.0,12.0,11.0,3.0,4.0,3.0,6.0,7.0,16.0,15.0,5.0,5.0,6.0
13099,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0
15098,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,5.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,5.0,1.0,1.0,2.0,0.0,2.0,2.0,3.0,5.0,0.0,2.0,0.0,4.0,5.0,3.0,2.0,3.0,4.0,6.0,2.0,1.0,4.0,7.0,3.0,5.0,8.0,2.0,4.0,8.0
15099,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0
15100,2.0,3.0,4.0,1.0,2.0,5.0,4.0,3.0,14.0,0.0,0.0,5.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,2.0,9.0,1.0,4.0,5.0,5.0,7.0,8.0,13.0,4.0,1.0,2.0,3.0,2.0,10.0,4.0,8.0,9.0,20.0,4.0,2.0,4.0,3.0,12.0,10.0,14.0,17.0,4.0,5.0,13.0
15101,1.0,3.0,1.0,2.0,5.0,1.0,2.0,1.0,9.0,2.0,5.0,4.0,0.0,1.0,2.0,0.0,0.0,2.0,6.0,3.0,5.0,4.0,13.0,4.0,4.0,4.0,6.0,4.0,10.0,9.0,2.0,0.0,4.0,9.0,10.0,15.0,6.0,8.0,12.0,11.0,3.0,3.0,14.0,20.0,8.0,10.0,20.0,4.0,12.0,24.0
15118,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,4.0,2.0,0.0,1.0,3.0,3.0,6.0,1.0,0.0,1.0,2.0,4.0,2.0,1.0,2.0,5.0,1.0,4.0,8.0,1.0,2.0,1.0,6.0,3.0,6.0,2.0,12.0,0.0,4.0,6.0,4.0,5.0,12.0
15120,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0
15143,2.0,0.0,2.0,3.0,2.0,3.0,3.0,5.0,3.0,2.0,4.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,6.0,4.0,2.0,9.0,1.0,5.0,5.0,8.0,5.0,6.0,3.0,4.0,1.0,7.0,9.0,11.0,3.0,9.0,11.0,7.0,3.0,4.0,13.0,14.0,7.0,12.0,11.0,6.0,8.0,20.0
15144,1.0,1.0,5.0,2.0,5.0,2.0,4.0,3.0,2.0,5.0,3.0,2.0,0.0,0.0,2.0,0.0,2.0,4.0,6.0,9.0,1.0,1.0,4.0,4.0,3.0,7.0,7.0,6.0,7.0,5.0,1.0,2.0,5.0,14.0,2.0,9.0,7.0,11.0,9.0,10.0,3.0,5.0,15.0,11.0,10.0,13.0,12.0,4.0,18.0,12.0
15148,1.0,1.0,0.0,3.0,2.0,0.0,5.0,2.0,3.0,0.0,2.0,4.0,1.0,1.0,1.0,0.0,3.0,1.0,6.0,4.0,2.0,5.0,4.0,6.0,1.0,4.0,2.0,7.0,3.0,5.0,3.0,1.0,4.0,10.0,8.0,9.0,3.0,5.0,9.0,6.0,4.0,6.0,12.0,15.0,5.0,9.0,10.0,4.0,15.0,16.0
11001,1.0,1.0,2.0,6.0,6.0,5.0,4.0,6.0,8.0,3.0,4.0,8.0,0.0,0.0,0.0,2.0,3.0,6.0,1.0,5.0,3.0,10.0,6.0,3.0,4.0,8.0,10.0,11.0,9.0,13.0,0.0,2.0,11.0,5.0,13.0,9.0,5.0,17.0,17.0,16.0,1.0,12.0,7.0,20.0,13.0,21.0,22.0,2.0,16.0,22.0
11002,0.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,4.0,1.0,3.0,6.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,5.0,4.0,0.0,2.0,0.0,1.0,5.0,1.0,5.0,8.0,1.0,1.0,1.0,4.0,8.0,2.0,1.0,6.0,5.0,10.0,2.0,1.0,8.0,6.0,2.0,6.0,15.0,2.0,6.0,9.0
11003,0.0,1.0,1.0,0.0,1.0,6.0,6.0,3.0,6.0,7.0,1.0,5.0,1.0,1.0,0.0,0.0,3.0,2.0,6.0,5.0,3.0,1.0,3.0,2.0,1.0,1.0,8.0,9.0,12.0,8.0,1.0,0.0,6.0,11.0,4.0,5.0,2.0,9.0,15.0,14.0,1.0,7.0,13.0,6.0,5.0,15.0,19.0,2.0,15.0,9.0
11004,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,3.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,3.0,6.0,5.0,0.0,4.0,0.0,2.0,2.0,1.0,6.0,5.0,1.0,2.0,2.0,5.0,11.0,3.0,1.0,3.0,5.0,8.0,1.0,3.0,12.0,8.0,4.0,2.0,11.0,3.0,7.0,14.0
11005,1.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,1.0,5.0,3.0,6.0,3.0,3.0,1.0,0.0,0.0,4.0,4.0,6.0,0.0,0.0,9.0,0.0,9.0,10.0,4.0,0.0,4.0,8.0,3.0,1.0,8.0,15.0,7.0,1.0,8.0,6.0,12.0,9.0,13.0
11006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11007,2.0,1.0,1.0,2.0,3.0,9.0,1.0,0.0,4.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,5.0,1.0,0.0,2.0,1.0,5.0,4.0,2.0,5.0,10.0,1.0,2.0,5.0,0.0,4.0,5.0,1.0,2.0,9.0,4.0,12.0,4.0,5.0,1.0,8.0,2.0,10.0,7.0,10.0,8.0,5.0,6.0,11.0
11008,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,4.0,0.0,4.0,0.0,0.0,4.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,5.0,1.0,2.0,4.0,4.0
11009,0.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,0.0,3.0,2.0,0.0,1.0,3.0,5.0,4.0,7.0,3.0,0.0,1.0,2.0,6.0,4.0,0.0,4.0,6.0,8.0,5.0,1.0,3.0,7.0,2.0,6.0,8.0,11.0,1.0,9.0,3.0
11011,0.0,2.0,0.0,2.0,1.0,4.0,9.0,8.0,3.0,5.0,7.0,2.0,2.0,1.0,0.0,2.0,4.0,1.0,6.0,2.0,7.0,10.0,11.0,12.0,3.0,2.0,5.0,16.0,8.0,9.0,2.0,3.0,5.0,8.0,15.0,23.0,3.0,8.0,19.0,13.0,3.0,7.0,15.0,32.0,6.0,21.0,16.0,6.0,13.0,38.0
11012,1.0,1.0,0.0,0.0,1.0,2.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,6.0,4.0,12.0,11.0,4.0,15.0,9.0,2.0,1.0,2.0,6.0,10.0,0.0,2.0,6.0,9.0,17.0,16.0,23.0,2.0,4.0,11.0,3.0,3.0,15.0,27.0,27.0,3.0,8.0,10.0,8.0,26.0,38.0
11013,3.0,0.0,0.0,1.0,2.0,3.0,2.0,7.0,1.0,1.0,4.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,9.0,4.0,10.0,9.0,1.0,7.0,3.0,2.0,4.0,10.0,3.0,6.0,0.0,3.0,4.0,12.0,18.0,8.0,2.0,7.0,10.0,8.0,2.0,6.0,21.0,16.0,5.0,13.0,9.0,5.0,15.0,26.0
11014,0.0,1.0,3.0,3.0,7.0,4.0,5.0,4.0,8.0,6.0,7.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,6.0,2.0,4.0,5.0,3.0,5.0,2.0,7.0,11.0,9.0,14.0,6.0,0.0,4.0,6.0,8.0,8.0,9.0,4.0,14.0,16.0,13.0,4.0,7.0,11.0,13.0,8.0,19.0,21.0,5.0,14.0,16.0
11015,2.0,2.0,2.0,0.0,3.0,4.0,3.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,2.0,6.0,3.0,2.0,5.0,0.0,0.0,5.0,0.0,2.0,2.0,5.0,7.0,3.0,6.0,0.0,5.0,1.0,3.0,6.0,9.0,6.0,1.0,4.0,5.0
11016,0.0,0.0,1.0,1.0,3.0,1.0,3.0,0.0,5.0,4.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,5.0,2.0,3.0,2.0,7.0,1.0,1.0,5.0,3.0,8.0,4.0,0.0,3.0,1.0,6.0,6.0,8.0,1.0,6.0,7.0,8.0,3.0,2.0,8.0,11.0,1.0,8.0,12.0,3.0,8.0,12.0
11018,0.0,1.0,0.0,2.0,1.0,0.0,3.0,2.0,21.0,7.0,2.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,3.0,4.0,28.0,8.0,1.0,0.0,1.0,2.0,4.0,0.0,1.0,4.0,24.0,14.0,0.0,1.0,5.0,0.0,4.0,5.0,35.0,0.0,4.0,3.0
11019,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,5.0,3.0,6.0,4.0,1.0,0.0,2.0,4.0,0.0,6.0,0.0,0.0,1.0,4.0,9.0,9.0,4.0,2.0,4.0,4.0,1.0,1.0,5.0,13.0,9.0,4.0,3.0,5.0,3.0,14.0,12.0
11020,0.0,2.0,0.0,3.0,2.0,1.0,6.0,3.0,1.0,5.0,3.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,0.0,6.0,4.0,3.0,2.0,3.0,2.0,3.0,5.0,7.0,7.0,4.0,2.0,2.0,4.0,5.0,6.0,4.0,2.0,8.0,8.0,9.0,1.0,7.0,8.0,7.0,5.0,12.0,11.0,4.0,8.0,11.0
11021,0.0,0.0,2.0,4.0,0.0,2.0,4.0,9.0,10.0,10.0,6.0,4.0,1.0,1.0,0.0,1.0,3.0,1.0,3.0,5.0,4.0,3.0,6.0,4.0,0.0,6.0,2.0,13.0,20.0,11.0,1.0,1.0,4.0,8.0,7.0,10.0,3.0,6.0,23.0,21.0,0.0,6.0,12.0,14.0,8.0,15.0,30.0,2.0,12.0,18.0
11022,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,6.0,6.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,5.0,5.0,8.0,0.0,2.0,1.0,1.0,1.0,3.0,5.0,13.0,1.0,1.0,2.0,2.0,8.0,13.0
11023,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,4.0,1.0,2.0,0.0,3.0,1.0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0,4.0,4.0
11024,0.0,1.0,5.0,0.0,0.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,4.0,4.0,5.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,6.0,4.0,4.0,1.0,2.0,2.0,1.0,2.0,7.0,7.0,2.0,4.0,1.0,2.0
11025,0.0,0.0,0.0,1.0,3.0,0.0,4.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,3.0,4.0,3.0,2.0,0.0,3.0,0.0,2.0,6.0,3.0,2.0,1.0,1.0
11026,2.0,1.0,1.0,3.0,2.0,0.0,5.0,1.0,1.0,4.0,2.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,6.0,5.0,9.0,0.0,2.0,0.0,5.0,2.0,3.0,6.0,4.0,6.0,12.0,1.0,1.0,6.0,5.0,8.0,6.0,13.0,1.0,5.0,6.0
11027,0.0,0.0,2.0,5.0,2.0,3.0,1.0,3.0,4.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,5.0,1.0,9.0,7.0,4.0,4.0,0.0,7.0,5.0,5.0,4.0,5.0,0.0,2.0,3.0,7.0,16.0,7.0,2.0,11.0,7.0,6.0,1.0,5.0,15.0,14.0,7.0,10.0,9.0,4.0,9.0,22.0
11028,0.0,3.0,2.0,2.0,3.0,7.0,6.0,7.0,3.0,7.0,3.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,5.0,6.0,14.0,37.0,9.0,6.0,2.0,3.0,11.0,13.0,9.0,5.0,1.0,4.0,4.0,13.0,50.0,14.0,4.0,13.0,16.0,12.0,3.0,7.0,26.0,50.0,7.0,22.0,15.0,6.0,17.0,64.0
