0,1,2,3
191.9790628,131,125.1510376,10
190.5796055,106,101.9456839,10
191.4910353,118,113.9456839,10
194.3457232,151,145.1510376,13
198.9871578,210,198.6777927,15
195.3607664,187,170.1510376,13
202.7087977,211,199.6777927,16
196.9491433,196,184.6777927,14
198.9514456,203,191.6777927,14
192.859073,131,129.1622348,12
191.8547685,122,122,12
196.6900281,194,176.5781061,14
193.4791316,143,143,13
191.3457077,112,106.1510376,9
192.7286567,145,140.5768016,11
192.693586,142,137.5768016,11
191.7673521,130,125.5768016,11
191.7568587,122,117.5768016,10
193.4184319,162,156.1510376,13
200.062862,173,168.9888027,14
192.2252924,138,135.7834491,12
195.0143004,164,159.9888027,14
191.2207306,100,100,10
191.3810233,115,110.6300404,10
195.1985726,168,163.9888027,13
198.8223486,169,164.9888027,14
193.1961272,160,155.9888027,13
193.1376911,153,148.9888027,13
196.3192673,169,154.9888027,14
191.7556553,110,105.9888027,10
192.3145361,137,122.9888027,10
194.4782425,156,151.9888027,15
197.5541295,183,178.9888027,13
198.1199345,191,179.3833991,15
196.9679071,183,173,14
192.8116796,145,140.9888027,10
192.1114336,125,120.9888027,9
191.0485809,102,100.1622348,10
191.0560717,111,106.9888027,10
192.2617756,137,132.9888027,10
195.8701695,164,157.7722518,11
193.6149376,140,135.9888027,10
200.3405434,169,164.9888027,12
200.156668,168,161.7722518,12
201.1767108,178,171.7722518,13
197.3697257,160,147.9176138,10
195.0768871,157,144.9176138,10
192.5957875,144,131.9176138,9
192.3859401,138,124.2421907,10
191.373692,118,104.2421907,9
191.7740659,121,112.9888027,10
194.3962639,145,132.9176138,10
193.957181,156,151.9888027,12
195.3184444,172,167.9888027,14
195.8596178,180,175.9888027,13
194.5063007,164,159.9888027,12
194.8913844,170,165.9888027,13
193.595741,145,140.9888027,11
191.4842742,111,111,12
192.9804418,129,129,11
193.6878764,150,145.9888027,11
192.2336642,119,119,11
192.995459,138,132.1669107,11
195.7423249,155,152.7834491,12
194.0777901,147,144.7834491,12
196.0819976,160,153.7722518,11
197.1573894,168,161.7722518,12
196.445065,165,158.7722518,12
197.6160195,170,163.7722518,12
190.4728661,112,112,12
190.6250381,113,113,11
190.993896,123,123,11
190.9099224,119,119,11
191.8454047,131,131,11
193.4479203,137,137,11
194.7628788,144,144,12
193.1315243,144,143.293894,12
192.141859,144,139.9888027,11
191.9654997,132,127.9888027,12
191.6016466,126,126,10
195.6588689,162,153.530541,12
194.777326,160,151.530541,12
197.5000975,182,166.3133508,14
196.9156256,173,157.3133508,14
190.4253554,114,111.7834491,11
202.2680171,187,182.9888027,15
199.1518654,187,178.9888027,14
198.979718,172,167.9888027,13
190.5271879,102,100.1622348,10
190.93725,120,117.7834491,12
191.9675749,142,142,12
192.9838647,151,151,13
191.9187789,131,131,13
194.6534452,169,166.7834491,15
193.4635711,158,155.7834491,15
191.4400775,111,109.1622348,14
190.3299621,102,101.4074781,11
191.8960487,126,126,11
192.6692115,141,139.1622348,13
192.1106756,141,131.1604047,13
191.7674524,124,124,11
193.6955172,153,148.866132,14
194.5727564,161,159.1622348,14
194.0142205,161,151.1604047,14
198.9291082,174,172.1622348,14
198.0241892,166,164.1622348,13
