0,1,2,3
0.0,1.0,118.7875164,32.04975586
1.0,2.0,118.7798845,32.02845916
2.0,3.0,118.7680916,32.0665767
1.0,4.0,118.7977513,32.0150942
2.0,6.0,118.774434,32.05102604
1.0,7.0,118.7820155,32.01413968
1.0,10.0,118.7921929,32.03254211
3.0,11.0,118.7685186,32.040187
1.0,13.0,118.7727608,32.01965071
2.0,14.0,118.7617654,32.0606837
2.0,15.0,118.7767193,32.06476446
0.0,16.0,118.7822057,32.0545663
1.0,17.0,118.7903779,32.0258139
2.0,18.0,118.7742694,32.0716729
1.0,19.0,118.8013916,32.0293957
0.0,20.0,118.7882933,32.04324071
0.0,21.0,118.7953252,32.04872828
3.0,22.0,118.7795247,32.04383647
2.0,23.0,118.7631265,32.0543458
1.0,24.0,118.7883765,32.00688624
1.0,25.0,118.7838535,32.02071302
2.0,27.0,118.7743378,32.05728268
0.0,29.0,118.8044565,32.05240023
3.0,31.0,118.7642065,32.0451195
2.0,33.0,118.7635225,32.06855119
3.0,34.0,118.771832,32.03639877
0.0,35.0,118.8006648,32.03583581
1.0,36.0,118.7754427,32.01503531
1.0,37.0,118.7966426,32.02457212
3.0,38.0,118.7743511,32.04200337
2.0,41.0,118.7726882,32.07611318
1.0,44.0,118.7760542,32.00836194
0.0,45.0,118.8055453,32.05826824
1.0,46.0,118.7868121,32.03145342
0.0,47.0,118.795072,32.05246928
0.0,48.0,118.7914298,32.05597264
2.0,49.0,118.7668214,32.05891385
3.0,52.0,118.7796088,32.04996439
1.0,53.0,118.7830882,32.02555382
2.0,56.0,118.7593313,32.05618127
2.0,57.0,118.7835612,32.06273961
1.0,58.0,118.7789826,32.02412787
2.0,60.0,118.7712028,32.05714625
1.0,62.0,118.7886432,32.01630352
0.0,63.0,118.7845304,32.04378574
2.0,64.0,118.7609189,32.0663048
0.0,65.0,118.793367,32.0369206
1.0,66.0,118.7968896,32.03369902
0.0,67.0,118.7931122,32.04676639
1.0,68.0,118.7775391,32.01861733
2.0,70.0,118.7722023,32.06773649
2.0,71.0,118.7868333,32.07073727
1.0,73.0,118.7931585,32.00937458
1.0,74.0,118.7870134,32.02283906
2.0,76.0,118.7565743,32.06051926
