ID,X,Y
201,118.798567,32.03078746
202,118.7998598,32.02025208
203,118.784295,32.05727955
204,118.7735084,32.05472155
205,118.7874581,32.05207934
206,118.7706149,32.03443723
207,118.7979052,32.03596354
208,118.7652149,32.05521467
209,118.777529,32.02814351
210,118.7865854,32.03392049
211,118.7991233,32.03824841
212,118.7904401,32.04761603
213,118.8034253,32.04056341
214,118.7954427,32.04673144
215,118.7718046,32.05152994
216,118.776148,32.04230119
217,118.7892869,32.01819974
218,118.7953967,32.03680166
219,118.7861102,32.04141202
220,118.777268,32.05015532
221,118.7711469,32.02187131
222,118.7912936,32.02347394
223,118.7744405,32.06739438
224,118.7990329,32.04994592
225,118.7806374,32.04024672
226,118.7656591,32.04763276
227,118.7910457,32.04596071
228,118.7672946,32.02177504
229,118.7803705,32.05474807
230,118.7959759,32.05055148
231,118.7593425,32.07082735
232,118.7940532,32.01255252
233,118.7771313,32.07092522
234,118.7817736,32.05749472
235,118.7731717,32.02343524
236,118.7948517,32.0428277
237,118.788224,32.01329959
238,118.769211,32.05619132
239,118.7987262,32.02631961
240,118.7818725,32.02377507
241,118.7876159,32.04792786
242,118.7819222,32.06075607
243,118.78221,32.03485821
244,118.7926403,32.01731988
245,118.7896644,32.05392296
246,118.7960547,32.05701444
247,118.7845495,32.06797908
248,118.7911247,32.0132208
249,118.8020511,32.03755244
250,118.768088,32.04284437
251,118.7905929,32.04414359
252,118.78393,32.01486556
253,118.7981177,32.04601444
254,118.7734425,32.03462721
255,118.7757782,32.06283991
256,118.7799455,32.03380234
257,118.7833119,32.01866628
258,118.7975205,32.04054738
259,118.7886775,32.0308414
260,118.7812221,32.02013203
261,118.7773363,32.02546351
262,118.7839655,32.03687512
263,118.771307,32.040769
264,118.7672726,32.07374742
265,118.7760317,32.04057349
266,118.7852727,32.02535463
267,118.7872358,32.03613343
268,118.7759659,32.05473667
269,118.7805269,32.04226357
270,118.789485,32.02368111
271,118.786965,32.05663132
272,118.7842392,32.05182327
273,118.7749647,32.02056452
274,118.7967176,32.04859265
275,118.7947001,32.03957297
276,118.7835243,32.0459259
277,118.7925774,32.02143717
278,118.791514,32.03024651
279,118.778099,32.01343555
280,118.7707531,32.02702688
281,118.7939608,32.05383551
282,118.7941219,32.02517276
283,118.7710844,32.02406656
284,118.7832255,32.06524609
285,118.7840384,32.06996272
286,118.7840405,32.0606279
287,118.7767783,32.05797494
288,118.7931584,32.04086969
289,118.7793622,32.03602787
290,118.7873918,32.03842187
291,118.7779176,32.04725177
292,118.7860127,32.05072063
293,118.757007,32.06498204
294,118.7839438,32.0321142
295,118.7989502,32.05729921
296,118.7842794,32.04183765
297,118.7779321,32.06654368
298,118.7776856,32.07641667
299,118.7702211,32.07536891
300,118.783464,32.07414823
