station_id,problematic_time,demand,priority
265,0,64,26.19
90,0,58,25.24
105,0,43,24.32
125,0,36,23.44
192,23.14,37,22.59
159,0,32,21.77
256,0,27,20.97
279,0,33,20.21
239,0,27,19.48
9,20,-29,18.77
23,0,27,18.09
73,0,21,17.43
16,25.08,-26,16.8
124,3.91,17,16.18
259,0,21,15.6
176,9.47,-25,15.03
24,16.74,22,14.48
106,24.55,-15,13.96
6,0,12,13.45
282,21.82,26,12.96
43,0,12,12.49
18,35.36,9,12.03
3,26.25,-9,11.6
149,0,4,11.18
65,45,-5,10.77
52,45,9,10.38
242,40.91,9,10
