station,Docked_Rent_15_1,Docked_Rent_15_2,Docked_Rent_15_3,Docked_Rent_15_4,Docked_Rent_15_5,Docked_Rent_15_6,Docked_Rent_15_7,Docked_Rent_15_8,Docked_Rent_15_9,Docked_Rent_15_10,Docked_Rent_15_11,Docked_Rent_15_12,Docked_Return_15_1,Docked_Return_15_2,Docked_Return_15_3,Docked_Return_15_4,Docked_Return_15_5,Docked_Return_15_6,Docked_Return_15_7,Docked_Return_15_8,Docked_Return_15_9,Docked_Return_15_10,Docked_Return_15_11,Docked_Return_15_12,Docked_Rent_30_1,Docked_Rent_30_2,Docked_Rent_30_3,Docked_Rent_30_4,Docked_Rent_30_5,Docked_Rent_30_6,Docked_Return_30_1,Docked_Return_30_2,Docked_Return_30_3,Docked_Return_30_4,Docked_Return_30_5,Docked_Return_30_6,Docked_Rent_45_1,Docked_Rent_45_2,Docked_Rent_45_3,Docked_Rent_45_4,Docked_Return_45_1,Docked_Return_45_2,Docked_Return_45_3,Docked_Return_45_4,Docked_Rent_60_1,Docked_Rent_60_2,Docked_Rent_60_3,Docked_Return_60_1,Docked_Return_60_2,Docked_Return_60_3
13097,0,0,3,1,0,2,2,8,5,1,5,2,0,0,1,1,0,4,0,2,3,1,3,7,0,4,2,10,6,7,0,2,4,2,4,10,3,3,15,8,1,5,5,11,4,12,13,2,6,14
13098,0,2,2,2,5,4,2,4,4,5,4,4,0,1,2,0,0,1,0,3,0,2,2,3,2,4,9,6,9,8,1,2,1,3,2,5,4,11,10,13,3,1,3,7,6,15,17,3,4,7
13099,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,1,0,1,1,1,1,0,4,0,0,0,1,1,1,2,0,4,0,0,1,2,2,4,0
15098,2,0,0,0,1,1,2,0,1,2,5,0,1,0,1,0,1,0,1,1,1,4,3,0,2,0,2,2,3,5,1,1,1,2,5,3,2,2,3,7,2,1,3,7,2,4,8,2,3,8
15099,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,2,1,0,0,0,0,2,0,0,1,1,0,1,0,3,1,0,0,2,1,1,0,1,4,0,2,0,2,1,3,1
15100,2,2,4,2,2,4,5,2,14,1,0,3,0,1,1,1,1,1,1,0,2,8,1,3,4,6,6,7,15,3,1,2,2,1,10,4,8,8,21,4,2,3,3,12,10,13,18,3,3,14
15101,1,2,2,1,5,1,3,0,9,2,5,4,0,1,1,0,0,1,5,3,4,5,11,6,3,3,6,3,11,9,1,1,1,8,9,17,5,7,12,11,2,1,12,22,6,9,20,2,9,26
15118,0,0,0,0,1,1,0,0,0,4,1,2,0,0,1,1,0,4,2,0,0,3,3,6,0,0,2,0,4,3,0,2,4,2,3,9,0,2,0,7,1,5,2,12,0,2,7,2,6,12
15120,0,0,1,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,3,2,0,0,0,0,0,1,0,1,2,5,0,0,0,0,1,2,4,2,0,0,1
15143,1,0,2,3,2,2,3,5,4,1,5,2,0,1,1,4,0,0,5,1,5,4,2,9,1,5,4,8,5,7,1,5,0,6,9,11,3,7,12,8,2,4,11,15,6,12,12,6,6,20
15144,1,1,4,4,3,3,3,3,3,4,4,2,0,0,1,0,1,3,6,10,1,1,5,4,2,8,6,6,7,6,0,1,4,16,2,9,6,10,9,10,1,4,17,10,10,12,13,1,20,11
15148,0,2,0,2,1,2,4,2,3,1,1,4,1,1,0,1,2,2,5,3,2,6,3,7,2,2,3,6,4,5,2,1,4,8,8,10,2,5,9,6,2,5,10,16,4,9,9,3,12,18
11001,1,0,1,7,4,6,4,6,7,4,5,8,0,0,0,0,4,6,0,5,3,11,6,5,1,8,10,10,11,13,0,0,10,5,14,11,2,17,17,17,0,10,8,22,9,20,24,0,15,25
11002,0,1,0,0,3,2,0,1,4,2,3,6,0,1,0,0,1,1,1,1,3,4,0,3,1,0,5,1,6,9,1,0,2,2,7,3,1,5,5,11,1,2,5,7,1,6,15,1,4,10
11003,0,1,1,0,1,4,7,2,6,6,3,6,0,1,0,1,3,1,5,5,4,1,3,2,1,1,5,9,12,9,1,1,4,10,5,5,2,5,15,15,1,5,14,6,2,14,21,2,14,10
11004,0,0,1,1,0,0,1,0,3,3,2,4,0,0,1,1,0,1,2,3,6,4,1,3,0,2,0,1,6,6,0,2,1,5,10,4,1,1,4,9,1,2,11,8,2,1,12,2,6,14
