ID,Num
11101,2
11102,17
11103,6
11104,15
11105,14
11106,6
11107,22
11123,25
11126,13
11127,5
11128,6
11129,6
11130,28
11131,0
11153,2
11157,5
13062,19
13064,1
13070,12
13072,5
13073,6
13075,6
13094,2
13095,2
13096,3
13097,5
13098,5
13099,9
15098,1
15099,8
15100,14
15101,7
15118,8
15120,7
15143,11
15144,19
15148,3
11001,2
11002,10
11003,14
11004,16
11005,6
11006,0
11007,3
11008,7
11009,10
11011,7
11012,15
11013,13
11014,23
11015,13
11016,13
11018,16
11019,11
11020,11
11021,15
11022,4
11023,2
11024,1
11025,7
11026,12
11027,6
11028,6
11029,6
11030,6
11031,20
11034,13
11035,14
11271,10
11272,8
13001,6
13002,7
13003,9
13004,8
13005,11
13006,4
13007,8
13009,13
13010,8
13011,14
13012,16
13013,15
13014,9
13015,8
13016,8
13017,3
13025,23
13026,8
13061,7
15001,23
15002,36
15003,22
15004,16
15005,2
15006,9
15007,17
15008,8
15009,15
15010,0
15011,20
15012,18
15013,2
15014,7
15015,14
15016,11
15017,9
15018,17
15019,9
15020,3
15021,4
15022,17
15023,7
15024,6
15025,18
15026,8
15027,9
15028,38
15029,24
15030,8
15031,10
15032,11
15033,21
15034,28
15035,16
15036,7
15037,17
15038,17
15039,8
15040,12
15042,11
15043,3
15044,42
15045,12
15046,31
15047,15
15048,27
15049,12
15050,0
15051,3
15052,8
15053,6
15054,18
15055,2
15056,2
15057,12
15058,46
15059,9
15060,1
15061,12
15062,5
15063,17
15064,7
15065,13
15066,2
15067,4
15068,33
15069,5
15070,10
15075,12
15076,9
15077,2
15079,2
15083,0
15084,9
15087,9
15088,5
15090,15
