,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
43,5,37,8,23,22,35,2,10,0,11,31,26,36,7,18,16,12,3,27,20,9,33,21,14,19,13,4,6,24,34,29,1,25,15,39,30,32,38,28,17
44,5,37,8,23,22,35,2,10,0,11,31,26,36,7,18,16,12,3,27,20,9,33,21,14,19,13,4,6,24,34,29,1,25,15,39,30,32,38,28,17
45,5,37,8,23,22,35,2,10,0,11,31,26,36,7,18,16,12,3,27,20,9,33,21,14,19,13,4,6,24,34,29,1,25,15,39,30,32,38,28,17
46,5,37,8,23,22,35,2,10,0,11,31,26,36,7,18,16,12,3,27,20,9,33,21,14,19,13,4,6,24,34,29,1,25,15,39,30,32,38,28,17
47,25,37,8,23,34,27,20,38,0,10,2,3,9,33,21,1,14,17,28,15,35,22,4,6,24,19,11,31,29,36,26,39,30,32,5,16,18,7,13,12
48,5,37,8,23,22,35,2,10,0,11,31,26,36,7,18,16,12,3,27,20,9,33,21,14,19,13,4,6,24,34,29,1,25,15,39,30,32,38,28,17
49,25,37,8,23,34,27,20,38,0,10,2,3,9,33,21,1,14,17,28,15,35,22,4,6,24,19,11,31,29,36,26,39,30,32,5,16,18,7,13,12
50,5,37,8,18,7,6,24,34,27,3,12,23,25,1,29,36,10,2,22,4,35,15,28,17,11,33,21,14,19,13,16,30,32,38,20,9,0,39,26,31
51,25,37,8,23,34,27,20,38,0,10,2,3,9,33,21,1,14,17,28,15,35,22,4,6,24,19,11,31,29,36,26,39,30,32,5,7,18,16,13,12
52,5,37,8,18,7,6,24,34,27,3,12,23,25,1,29,36,10,2,22,4,35,15,28,17,11,33,21,14,19,13,16,30,32,38,20,9,0,39,26,31
53,25,37,8,23,34,27,20,38,0,10,2,3,9,33,21,1,14,17,28,15,35,22,4,6,24,19,11,31,29,36,26,39,30,32,5,7,18,16,13,12
54,5,37,8,18,7,22,2,10,36,29,1,25,23,12,3,27,34,24,6,4,35,15,28,17,11,33,21,14,19,13,16,30,32,38,20,9,0,39,26,31
55,5,37,8,23,22,35,2,10,0,11,31,26,36,7,18,16,12,3,32,19,13,4,6,24,34,29,1,25,15,39,30,14,21,33,9,20,27,38,28,17
56,25,37,8,23,34,27,20,38,0,10,2,3,9,32,30,39,26,36,29,31,11,19,24,6,4,22,35,15,28,17,14,1,21,33,5,7,18,16,13,12
57,5,37,8,18,7,6,24,34,27,3,20,38,32,30,16,13,19,14,21,33,11,17,28,15,35,4,22,2,10,36,29,1,25,23,12,9,0,39,26,31
